UPRN,TotalEnergyConsumptionCurrent,TotalEnergyConsumptionPotential,TotalFloorArea
6000445.0,30668.0,29110.0,82.0
6000446.0,18424.7,16166.0,48.1
6000447.0,13739.9,13259.15,64.05
6000448.0,12914.85,12626.250000000002,72.15
6000449.0,15839.88,15185.939999999999,72.66
6000450.0,13766.9,13249.3,60.4
6000451.0,23235.805,14555.515,66.265
6000452.0,15058.36,13476.6,66.28
6000453.0,13703.0,11573.0,71.0
6000454.0,12074.5,11927.0,61.5
6000455.0,14539.1,13545.1,70.6
6000456.0,11902.5,11599.166666666666,68.83333333333333
6000457.0,15347.400000000001,14371.2,72.7
6000458.0,10942.5,10942.5,64.5
6000459.0,11203.6,10146.400000000001,64.2
6000460.0,12482.0,11613.0,79.0
6000461.0,9430.0,9016.0,46.0
6000462.0,15024.0,14127.2,63.35
6000463.0,17344.243333333332,16853.766666666666,63.93666666666667
6000464.0,19525.0,17892.0,71.0
6000465.0,20007.5,19758.0,67.5
6000466.0,19072.0,16576.0,64.0
6000467.0,15762.2,13996.1,49.1
6000468.0,22942.0,19055.65,68.45
6000469.0,11472.0,10272.0,48.0
6000471.0,14042.75,13666.75,57.75
6000472.0,14415.599999999999,13782.72,70.32
6000473.0,10453.83,9584.720000000001,46.870000000000005
6000474.0,10250.0,9950.0,50.0
6000476.0,12035.730000000001,11474.203333333333,54.656666666666666
6000478.0,8193.49,7840.99,46.495000000000005
6000479.0,10821.900000000001,10457.7,41.6
6000481.0,12045.84,11595.34,54.06
6000482.0,16109.24,14958.58,82.19
6000483.0,10942.785,10376.965,51.839999999999996
6000484.0,10902.400000000001,9757.2,49.6
6000485.0,13120.3,13018.599999999999,68.9
6000486.0,15682.27,10964.31,55.43
6000487.0,14136.07,13785.166666666666,56.843333333333334
6000488.0,12206.925,11520.0,49.195
6000489.0,13326.0,12772.52,48.04
6000490.0,20493.0,14835.0,69.0
6000491.0,15345.199999999999,14301.0,45.4
6000492.0,21432.87,20555.894999999997,65.745
6000493.0,15692.593333333332,14360.106666666667,50.97
6000494.0,11715.0,8360.0,55.0
6000495.0,34448.833333333336,28181.533333333336,45.76666666666667
6000496.0,33768.0,11368.0,56.0
6000497.0,12710.0,1435.0,41.0
6000504.0,13891.779999999999,13263.494999999999,62.754999999999995
6000505.0,15531.04,15270.400000000001,57.94
6000506.0,9486.0,8670.0,51.0
6000507.0,13221.56,12534.573333333334,53.413333333333334
6000512.0,9590.0,8470.0,70.0
6000532.0,12707.89,8943.37,61.67
6000533.0,14178.935000000001,10642.880000000001,68.005
6000534.0,10088.0,6396.0,52.0
6000535.0,12776.2,10378.7,52.3
6000536.0,9787.592,7547.763999999999,56.348
6000537.0,9300.2,6680.799999999999,51.4
6000538.0,10865.0,6572.0,53.0
6000539.0,7371.12,5693.84,51.239999999999995
6000540.0,16728.0,8775.0,58.0
6000541.0,11628.0,9804.0,76.0
6000545.0,16644.0,14162.0,73.0
6000546.0,11900.0,10455.0,85.0
6000547.0,12480.0,8960.0,64.0
6000548.0,8736.0,7824.0,48.0
6000549.0,7852.5,6560.5,53.5
6000550.0,18285.0,7579.0,53.0
6000551.0,9282.0,9010.0,34.0
6000552.0,14220.599999999999,11090.699999999999,41.9
6000553.0,23668.0,21728.0,97.0
6000558.0,12070.0,10366.0,71.0
6000559.0,11970.7,9150.400000000001,55.3
6000560.0,9702.0,9702.0,99.0
6000561.0,11820.96,9904.8,67.47999999999999
6000562.0,6600.1,6210.1,66.9
6000563.0,8844.0,8844.0,66.0
6000564.0,9789.05,7393.049999999999,70.55
6000565.0,11080.74,7885.68,67.98
6000566.0,8811.0,6949.5,71.0
